,time,location,operator,route,aircraft_type,aboard,fatalities,description,month,year,day,latitude,longitude
31,0700,"Cerro del Carbon, Mexico",Corp. Aeronautica de Transportes,Matamoros - Mexico City - Juarez,Lockheed Vega 5,4   (passengers:3  crew:1),4   (passengers:3  crew:1),The mail plane crashed in dense fog.,November,1929,4,20.4041371,-97.2886102
1583,08:50,"Leeville, Louisiana",Rotor Airs Inc - Air Taxi,"Leeville, LA - Grand Isle, LA",Sikorsky S-62A,7   (passengers:6  crew:1),6   (passengers:6  crew:0),"The helicopter experienced uncontrollable overspeeding, became airborne, lost power and crashed.",February,1980,21,29.2504529,-90.2108072
2533,12:21,"Mendoza, Argentina",Fuerza Aérea Argentina,Mendoza - Parana,Fokker F-27 Friendship 400M,5   (passengers:0  crew:5),5   (passengers:0  crew:5),Shortly after taking off the plane veered to the right and crashed into a field. Engine failure.,May,2001,17,-32.8897294,-68.8442956
2191,18:00,"Flagstaff, Arizona",Empire Airlines,Flagstaff - Phoenix,Cessna 208B Caravan I Super Cargomaster,1   (passengers:0  crew:1),1   (passengers:0  crew:1),"The cargo plane was observed in a shallow left bank until it descended and struck trees and broke up. The pilot's failure to properly configure the aircraft fuel system prior to takeoff and his failure maintain an adequate terrain clearance altitude while maneuvering to return to the airport. Factors in the accident were the dark night lighting conditions, low ceilings, restricted visibility conditions, and the pilot's diverted attention which resulted from activation of the airplane's fuel selector warning horn system.",January,1995,11,35.199458,-111.6514259
1618,11:36,"Cincinnati, Ohio",Freedom International,Cincinnati - Detroit,Learjet 23,2   (passengers:0  crew:2),1   (passengers:0  crew:1),"While climbing through 3,800 ft., a Loon collided with the cargo plane penetrating the windshield. The copilot was killed and the captain sustained serious injuries. Debris from the windshield were ingested by the No.2 engine which had to be shut down. The pilot returned to the airport for a successful emergency landing.",April,1981,7,39.1014537,-84.5124602
171,14:00,"Off Prangli Island, Gulf of Finland, Estonia",Aero O-Y,"Tallinn, Estonia - Helsinki, Finland",Junkers JU-52/3mge,9   (passengers:7  crew:2),9   (passengers:7  crew:2),The plane was en route when it was shot down by two Soviet Tupolev SB-2 bombers. The aircraft  crashed 2-3 nm offshore of Prangli Island near Keri Lighthouse. The aircraft was named Kaleva.,June,1940,14,,
2478,15:16,"Shitai, China",Wuhan Airlines,Enshi - Wuhan,Xian Yunshuji Y-7-100C,44   (passengers:40  crew:4),44   (passengers:40  crew:4),"The plane was attempting to land at Whuan's Wanjiatun Airport in thunderstorms and heavy rain when it was struck by lightning causing it to explode and crash. Half of the plane crashed into a farmhouse and the other half crashed near a dike on the Hanjiang River near the village of Shitai, 15 miles from Wuhan. Seven people aboard a boat on the southern bank of the river were killed when they were swept into the river by the impact of the crash.",June,2000,22,30.2131783,117.4760338
1231,14:30,"Papua, New Guinea",Military - Royal Australian Air Force,Lae - Port Moresby,de Havilland Canada DHC-4 Caribou,29   (passengers:26  crew:3),25   (passengers:22  crew:3),"While traveling through a valley, the pilot reversed his course after the weather deteriorated. He began to climb but clipped trees just below a ridge, lost control of the aircraft and crashed. The pilot's error in judgement in not flying about the poor weather in the valley.",August,1972,28,-5.52275,142.073524709441
2833,09:10,"Near El-Thamad, Egypt",Military - French Air Force,El-Gora - Santa Katarina,de Havilland Canada DHC-6 Twin Otter,9   (passengers:5  crew:4),9   (passengers:5  crew:4),"Collided with a truck while attempting to make an emergency landing on a road. French soldiers aboard were with  the Sinai's peacekeeping force, the Multinational Force & Observers.",May,2007,6,,
181,02:04,"Near Moorhead, Minnesota",Northwest Orient Airlines,Minneapolis - Fargo,Douglas DC-3,15   (passengers:13  crew:2),14   (passengers:13  crew:1),"Crashed in fog and mist due to icing on the wings. The pilot, Clarence Bates, was thrown clear of the wreckage and was the lone survivor. Accumulation of ice on the wings and other surfaces of the airplane, increasing the stalling speed and the drag of the airplane on the power required to maintain flight. Action of the captain in descending to attempt a landing at Fargo with known icing conditions and critical ceiling conditions instead of proceeding to an available alternate.",October,1941,30,,
1124,20:47,"Zaporozhye, Ukraine",Aeroflot,Rostov - Zaporozhye,Ilyushin IL-14P,35   (passengers:30  crew:5),7   (passengers:6  crew:1),The plane was destroyed when it crashed while on approach. The crew descended prematurely and was not monitored.,April,1970,4,47.8507859,35.1182867
2135,11:16,"Nalchik, Russia",North Western Air Transport,Volgograd - Nalchik,Antonov AN-12V,13   (passengers:7  crew:6),13   (passengers:7  crew:6),"While on approach the nose pitched up, the aircraft stalled and crashed short of the runway. Icing of the horizontal stabilizer.",February,1994,24,43.4769604,43.5966578
2059,21:35,"La Guardia Airport, New York, New York",USAir,New York City - Cleveland,Fokker F-28 Fellowship 4000,51   (passengers:47  crew:4),27   (passengers:25  crew:2),"The plane was de-iced two times while at the gate. Thirty-five minutes elapsed between the last de-icing and takeoff during which ice accumulated on the wings. After liftoff, the plane stalled, crashed and came to rest inverted and partially submerged in Flushing Bay. Failure of the airline industry and FAA to provide flight crews with procedures compatible with departure delays in conditions conducive to airframe icing and the decision by the flight crew to take off without positive assurance that the airplane's wings were free of ice accumulation after 35 minutes of exposure to precipitation following de-icing. The ice contamination on the wings resulted in an aerodynamic stall and loss of control after liftoff.",March,1992,22,,
3128,1343,"Ella Lake, Alaska",Promech Air,Sightseeing,de Havilland DHC-3T Vazar TurbineOtter,9   (passengers:8  crew:1),9   (passengers:8  crew:1),"The Twin Otter crashed while on a sightseeing tour carrying cruise ship passengers. The plane impacted a granite rock face cliff near Ella Lake, about 25 miles northeast of Ketchikan.",June,2015,25,55.4751329,-131.108978416497
2349,19:31,"Off Hsinchu, Taiwan",Formosa Airlines,Hsinchu - Kao Hsiung,Saab340B,13   (passengers:8  crew:5),13   (passengers:8  crew:5),"The aircraft crashed in the sea, 11 km off Hsinchu, shortly after taking off from Hsinchu. Instrument failure and loss of power in the aircraft's right engine in turbulence.",March,1998,18,25.0723003,121.5564048
2843,13:00,"Near Shinile, Ethiopia",Djibouti Airlines,Dire Dawa - Djibouti,Antonov AN-26V,9   (passengers:3  crew:6),1   (passengers:1  crew:0),The cargo plane crashed shortly after taking off after an engine failed. The pilot was trying to return for an emergency landing.,July,2007,23,,
2791,02:15,"Off Adler, Russia",Armavia,"Yerevan, Armenia - Sochi, Russia",Airbus A320-211,113   (passengers:105  crew:8),113   (passengers:105  crew:8),"The jetliner crashed into the Black Sea and broke up in driving rain and low visibility after making a second attempt to land. The plane disappeared from radar screens just under four miles from shore and crashed after making a turn and heading toward Adler airport for a landing. Pilot error. The captain, being in a psychoemotional stress condition, made nose down control inputs due to the loss of pitch and roll awareness.This started the abnormal situation. The captain's insufficient pitch control inputs led to a failure to recover the aircraft and caused it to crash. Along with the inadequate control inputs from the captain, the contributing factors of the crash were also the lack of monitoring the aircraft's pitch attitude, altitude and vertical speed by the first officer and no proper reaction by the crew to GPWS warnings.",May,2006,3,43.4253834,39.9237036
2188,15:30,"Near Van, Turkey",Turkish Airlines (THY),Ankara - Van,Boeing B-737-4Y0,76   (passengers:69  crew:7),57   (passengers:52  crew:5),The aircraft crashed into a hill near the airport in driving snow after a fourth landing attempt.,December,1994,29,36.59955595,30.5678400808126
2519,15:40,"Nurnberg, Germany",E.A.S. Aeroservizi,"Nurnberg - Rome, Italy",Learjet 35A,3   (passengers:1  crew:2),3   (passengers:1  crew:2),"The plane experienced asymetrical thrust during takeoff. Rose 200-300 ft., stalled and crashed into trees. An in-flight failure of the left power plant appromately 3 minutes after take-off and inadequate conduct of the crew  so that in short final the airplane stalled and crashed from low height. The failure of the left engine was caused by intergranular fractures of retention posts on the high pressure turbine disk. As a result of incorrect service life recordings the maximum number of cycles had considerably been exceeded.",February,2001,8,49.453872,11.077298
3052,15:30,"Accra, Ghana",Allied Air,"Lagos, Nigerai - Accra, Ghana",Boeing B-727-200,4   (passengers:0  crew:4),0   (passengers:0  crew:4),"While on approach to Runway 21 at Kotika International Airport, the cargo plane overran the runway, broke through the perimeter fence, went across a main road and collided with a bus.",June,2012,2,5.5600141,-0.2057437
731,09:28,"Near Tashkent, Uzbekistan, USSR",Aeroflot,Kabul - Tashkent,Ilyushin IL-18,29   (passengers:24  crew:5),29   (passengers:24  crew:5),Crashed into a mountain while en route. Crew error. The crew deviated from prescribe route.,December,1959,13,,
2571,18:21,"Sierra Blanca, Texas",Air Cargo Express,Harlingen - El Paso,Learjet 24D,2   (passengers:0  crew:2),2   (passengers:0  crew:2),While enroute the cargo plane on a positioning flight entered an uncontroled descent and crashed. Loss of control during descent for undetermined reasons.,December,2001,10,31.1778312,-105.3576272
728,05:35,"Chicago, Illinois",Trans World Airlines,Chicago - Los Angeles,Lockheed L-1049H Super Constellation,3   (passengers:0  crew:3),3   (passengers:0  crew:3),"Shortly after taking off the plane experienced a fire warning in the No. 2 engine, shut it down and attempted to return to Midway Airport. During the final approach the aircraft banked in excess of 45 degrees and developed an excessive sink rate. When the aircraft reached the tops of trees its wings were nearly level and its nose was raised in a climbing attitude but the descent continued and the plane crashed one quarter of a mile southeast of the airport. The accident was the consequence of manuvering the aircraft during the turn to final approach in such a manner as to cause a rate of sink from which recovery was not possible. Sometime during the turn the flaps were retracted from 60% to 24% causing a loss of lift.",November,1959,24,41.8755616,-87.6244212
1999,07:02,"San Luis Obispo, California",HiTech Helicopters,"Van Nuys, CA - San Luis Obispo, CA",Cessna 501 Citation,4   (passengers:2  crew:2),4   (passengers:2  crew:2),Crashed short of the runway into a Eucalyptus tree while making an approach to Runway 11 in heavy fog.  The pilot's improper IFR procedure. His failure to maintain the minimum descent altitude for the adverse weather was a related factor.,September,1990,24,35.2827525,-120.6596156
1689,10:15,"Cortez, Colorado",Air Taxi - Four Corners Aviation Inc.,"Blanding, UT - Farnington, New Mexico",Cessna U206,5   (passengers:4  crew:1),2   (passengers:1  crew:1),Pilot became disoriented in clouds and impacted rising terrain in a nose up attitude. Continued VFR flight in adverse weather. Pilot was not instrumented rated.,June,1983,25,37.3494528,-108.5840736
3084,15:45,"Fernelmont, Belgium",Aeroparaclub Namur,Parachuting,Pilatus PC-6/B2-H4 Turbo Porter,11   (passengers:10  crew:1),11   (passengers:10  crew:1),Ten members of a parachuting club and he pilot were killed when the plane they were on lost altitude and crashed shortly after taking off.,October,2013,19,50.548118,4.9746742
926,14:55,"Sugar Loaf Mountain, Colombia",AVIANCA,Bogota - Bucaramanga,Douglas C-47,28   (passengers:26  crew:2),28   (passengers:26  crew:2),"Crashed into Pan de Azucar Peak, 35 nm from Bucaramanga. Flying under VFR in IFR conditions.",March,1965,22,,
137,02:56,"Billings, Montana",Northwest Orient Airlines,Seattle - Chicago,Lockheed 14 Super Electra,10   (passengers:8  crew:2),10   (passengers:8  crew:2),"While taking off from Billings, the airplane left the ground in a stalled condition from which the pilot attempted to recover by use of full emergency power. Emergency power was not available because of improper adjustment of the stop which had been placed on the quadrant of the propeller pitch control levers, preventing the levers from going to the full low pitch position. As a result of the stalled condition, the airplane fell off on the right wing and crashed at a point 1,100 feet beyond the NE runway, the pilot having cut the switch just prior to the impact.",July,1938,8,45.7874957,-108.49607
2666,09:00,"Near Hasi, Iraq",Military - U.S. Army,Fallujah - Baghdad,CH-47 Chinook,36   (passengers:34  crew:2),15   (passengers:15  crew:0),The helicopter crashed into a corn field while ferrying troops from Fallujah to Baghdad. The CH-47 helicopter belonged to the 12th Aviation Brigade. The helicopter was shot down by a shoulder-fired missile.,November,2003,2,,
1612,21:16,"Houma, Louisiana",Walker - Watts Aviation - Air Taxi,"New Orleans, LA - Houma, LA",Cessna 310R,4   (passengers:3  crew:1),4   (passengers:3  crew:1),Crashed on final approach after encountering windshear. Pilot not briefed on possibility of turbulence and windshear by FSS personnel.,February,1981,10,29.5957696,-90.7195348
1690,c 07:40,"Near Cuenca, Azuay, Ecuador",TAME,Quito - Cuenca,Boeing B-737-2V2,119   (passengers:111  crew:8),119   (passengers:111  crew:8),"The jetliner scraped a mountian peak, exploded in flames and slid down a ravine coming to rest at the foot of a mountain. The plane was attempting to land in the Andean city of Cuenca. Under-qualification of pilot.",July,1983,11,,
2718,16:30,"Martinsville, Virginia",Private - Hendrick Motorsports Inc.,"Concord, NC - Martinsville, VA",Beech 200 Super King Air,10   (passengers:8  crew:2),10   (passengers:8  crew:2),"The plane struck a steep incline in the Bull Mountain area seven miles from the Blue Ridge Regional Airport in heavy fog. Wreckage was confined to an area of approximately 200 ft. long. Killed in the crash were members of the Hendrick Motorsports racing team including the son, brother and two nieces of owner Rick Hendrick. Failure of the crew to properly execute the published instrument approach procedure. A contributing cause was the crew's failure to use all navigational aids to confirm and monitor their position during the approach.",October,2004,24,36.6915262,-79.8725386
2748,22:14,"Near Stratford, New Zealand",Airwork NZ,Auckland - Blenheim,Swearingen SA.227AC Metro III,2   (passengers:0  crew:2),2   (passengers:0  crew:2),"The plane entered a spiral descent and broke up. It found the captain noticed a fuel imbalance and opened the crossfeed. This resulted in the plane being flown at a large sideslip angle while still under autopilot control, by means of the rudder trim mechanism. Forty-seven seconds after the cross flow was opened, there was a  ""bank angle"" warning, followed by a warning chime that was presumably a warning they were straying from their correct altitude. The autopilot disengaging, probably due to a servo reaching its torque limit. This meant that there was no compensation applied for the rudder trim input, and the plane entered a roll and steep descent, disintegrating around FL 199. The investigation found poor visibility at night in low cloud was a factor in preventing the pilots realizing sooner.",May,2005,2,,
2007,c 18:00,"Near Paramo Mucuti, Venezuela",Military - Venezuelan Navy,Caracas - Merida,CASA 212 Aviocar 200,22   (passengers:19  crew:3),21   (passengers:18  crew:3),"Crashed into Paramo Mucuti Mountain, 35 miles from it's destination of Merida. The last message from the pilot was he was unable to land because of adverse weather conditions and was declaring an emergency. The flight was transporting a funeral party for a Navy flyer killed a few days before. The only survivor was another Navy flyer who had also survived the earlier accident.",January,1991,10,,
2265,20:31,"Off East Moriches, New York",Trans World Airlines,New York City - Paris,Boeing B-747-131,230   (passengers:212  crew:18),230   (passengers:212  crew:18),"While on a flight from New York to Paris, France, the aircraft exploded at  FL 130, broke up and crashed into the Atlantic Ocean off Long Island, N.Y. The NTSB determined that the probable cause of the accident was an explosion of the center wing fuel tank resulting from ignition of the flammable fuel/air mixture in the tank. The source of ignition energy for the explosion could not be determined with certainty but, of the sources evaluated by the investigation, the most likely was a short circuit outside of the center wing tank that allowed excessive voltage to enter it through electrical wiring associated with the fuel quantity indication system.  To say that numerous government agencies acted strangely and suspiciously would be an understatement.  A great deal of evidence was either suppressed or ignored. Rumors persist that the plane was brought down by a missile, either by the Navy conducting exercises in the area or by terrorists.",July,1996,17,40.8050989,-72.7609336
56,c:09:00,"Salt Flats, Texas",American Airways,El Paso - Dallas,Fokker F-10,4   (passengers:2  crew:2),3   (passengers:1  crew:2),The mail plane struck a mountain and burned encountering poor weather conditions.,September,1932,8,31.4756594,-97.2278236
2920,06:25,"Off Sabine Pass, Texas",Rotorcraft Leasing Co,Sabine Pass - Oil Platform,Bell 206-L4 Jet Ranger III,3   (passengers:3  crew:2),3   (passengers:3  crew:2),"The helicopter ferrying workers to an off shore drilling platform crashed into the Gulf, 8 miles from Sabine Pass.",December,2008,11,29.7329013,-93.8956445
725,20:40,"Waynesborough, Virginia",Piedmont Airlines,"Washington DC - Charlottsville, VA",Douglas DC-3,27   (passengers:24  crew:3),26   (passengers:23  crew:3),Crashed into Bucks Elbow Mountain during an ILS approach to Charlottesville Airport. Navigational omission resulting in an off course approach. It took thirty-six hours before the lone survivor was rescued.  A navigational omission which resulted in a lateral course error that was not detected and corrected through precision instrument flying procedures. A contributing factor to the accident may have been pre-occupation of the captain resulting from mental stress.,October,1959,30,,
43,c 13:00,"New South Wales, Australia",Australian National Airways,Sydney - Melbourne,Avro 10,8   (passengers:6  crew:2),8   (passengers:6  crew:2),Crashed in the Snowy Mountains in poor weather conditions. Wreckage found 10/26/1958.,March,1931,21,-31.8759835,147.2869493
1785,23:30,"Atlantic City, New Jersey",Air Taxi - Islip Airco Inc.,"Atlantic City, NJ - Atlantic City, NJ",Cessna 414A,5   (passengers:4  crew:1),2   (passengers:2  crew:0),During takeoff the pilot was not able to pull back the control wheel more than 2 inches. He aborted the takeoff late and was not able to stop the plane before it ran off the runway and collided with a car. Delayed aborted takeoff. Restricted elevator control movement.,May,1986,17,39.3642852,-74.4229351
88,12:30,"Pian Giacomo, Switzerland",KLM Royal Dutch Airlines,"Milan, Italy - Amsterdam",Douglas DC-2,13   (passengers:9  crew:4),13   (passengers:9  crew:4),Crashed into a mountain near St. Bernard Pass in Switzerland. Mountains obscured by clouds. The crew flew through the wrong valley which ended in a dead end.,July,1935,20,46.4072182,9.2355033
832,23:19,"Honolulu, Hawaii",Canadian Pacific Air Lines,"Honolulu - Nadi, Fiji",Bristol Britannia 314,40   (passengers:29  crew:11),27   (passengers:20  crew:7),"Shortly after takeoff, a fire warning indication caused the pilot to feather the propeller on the No. 1 engine. Fuel was jettisoned, and the flight returned to Honolulu for landing approximately 40 minutes after departure. The three-engine landing approach appeared normal until the aircraft had proceeded beyond the runway threshold and had commenced its landing flare at an altitude of approximately 20 feet above the runway centerline. A go-around was attempted from this position and the aircraft banked and veered sharply to the left. Initial ground contact was made by the left wing tip approximately 550 feet to the left of the runway centerline. The aircraft progressively disintegrated as it  moved across the ground, then struck heavy earth-moving-equipment parked approximately 970 feet from the runway centerline. The accident was caused by the attempted three-engine go-around, when the aircraft was in a full landing configuration, at insufficient airspeed and altitude to maintain control.",July,1962,22,21.3250785,-157.846644178573
452,14:13,"Philadelphia, Pennsylvania",National Airlines,Newark - Philadelphia,Douglas DC-4-1009,28   (passengers:25  crew:3),7   (passengers:6  crew:1),"The plane overshot the landing, ran into a ditch and caught fire. Pilot error in electing to land long, on a wet and snow covered runway instead of executing a missed approach.",January,1951,14,39.9524152,-75.1635755
625,09:00,"Dannemois, France",Air France,Training,Vickers 708 Viscount,5   (passengers:0  crew:5),5   (passengers:0  crew:5),Crashed in a steep angle of attack.,December,1956,12,48.4538873,2.4778402
1994,11:10,"Stepanakert, Azerbaijan, USSR",Aeroflot,Yerevan - Zvartnots,Yakovlev YAK-40,47   (passengers:43  crew:4),47   (passengers:43  crew:4),"The aircraft crashed into a cloud covered mountain at 2,520m, 22km from its destination.  Premature descent.",August,1990,1,,
1087,20:05,"Newton, Iowa",Private Charter,Chicago - Des Moines.,Cessna 172H,3   (passengers:2  crew:1),3   (passengers:2  crew:1),"The single engine plane took off at night in rainy weather despite warnings of a building storm front. Fighter, Rocky Marciano, 45,  killed. The pilot was not cleared to fly IFR and had only 35 hours of night flying experience. The plane got as far as Newton, Iowa. The plane was seen flying barely 100 feet off the ground when it entered a rolling bank of clouds. Reappearing once, it rose and disappeared again. The plane crashed into a lone oak tree in the middle of a corn field. After a stop at Des Moines, Marciano was on his way home to attend his birthday party. Pilot attempted operation beyond experience/ability level. Continued VFR flight into adverse weather conditions. Spatial disorientation.",August,1969,31,41.6996927,-93.0537592
1059,19:21,"Off Los Angeles, California",Scandinavian Airlines (SAS),Copenhagen - Los Angeles - Seattle,McDonnell Douglas DC-8-62,45   (passengers:36  crew:9),15   (passengers:12  crew:3),"The aircraft was on approach to 07R when it crashed into Santa Monica Bay 6 miles short of the runway. The fuselage  broke into 3 pieces one of which floated for 20 hours. SAS did not authorize a back course approach to LAX.  A VOR approach was conducted without notifying the controlling authority. The crew was preoccupied with a landing gear light problem. Lack of crew coordination and inadequate monitoring of aircraft position which resulted in an unplanned descent into the water. The aircraft was named ""Sverre Viking.""",January,1969,13,34.0536834,-118.2427669
2756,15:40,"Off Palermo, Italy",Tuninter,"Bari, Italy - Djerba, Tunisia",ATR-72-202,39   (passengers:35  crew:4),16   (passengers:14  crew:2),"The aircraft developed engine trouble while en route from Bari Italy to Djerba, Tunisia The crew contacted Palermo ATC for an emergency landing but ditched into the sea approximately 19 miles north of Palermo. The pilot reported that both engines had failed. Fuel starvation. The maintenance crew incorrectly installed a fuel gauge for a ATR-42 on the ATR-72. Both instruments look very similar. A contributing factor was the failure of the crew to carry out proper emergency procedures once the plane ran out of fuel. In March 2009, an Italian court sentenced the pilot, to 10 years of jail for manslaughter. Prosecutors said that after the plane's engines stopped functioning, Garbi failed to follow emergency procedures, and that he could possibly have reached runway 25 of Palermo ""Punta Raisi"" Airport, or even the standard runway 20. Witnesses say he succumbed to panic and began praying out loud, rather than attempting to maneuver the plane to the nearest airport.",August,2005,6,38.1112268,13.3524434
2451,09:40,"Guatemala City, Guatemala",Cubana de Aviacon,Havana - Guatemala City,McDonnell Douglas DC-10-30,314   (passengers:296  crew:18),16   (passengers:8  crew:8),"While attempting to land at La Aurora International Airport, the aircraft overshot the runway, rolled down an embankment and crashed into houses in the La Libertad section of the city. Witnesses say the plane was unable to stop after it began its landing too far down the runway. The crew failed to initiate a go-around after overshooting on a wet runway with insufficient deceleration to make a safe stop. Leased from AOM.",December,1999,21,14.6417889,-90.5132239
1501,20:42,"Near Riverside, California",Lake Havasu Air,"Santa Ana, CA - Lake Havasu, AZ",Cessna T207A,6   (passengers:5  crew:1),6   (passengers:5  crew:1),Crashed into a mountain in fog.  Continued VFR flight into adverse weather conditions.,March,1978,22,33.9084576,-117.498641222643
1823,19:35,"Wilmington, North Carolina",Air-Lift Commuter,Wilmington - Lumberton,Swearingen SA-26TC Metro II,2   (passengers:0  crew:2),2   (passengers:0  crew:2),The cargo plane lost the No. 2 engine while taking off and crashed into trees and caught fire. Poor in-flight planning. Emergency procedures not followed. The right engine did not have the latest welding process and failed causing a uncontained turbine failure.,April,1987,23,34.2257282,-77.9447107
891,11:29,"Near Zephyr Cove, Nevada",Paradise Airlines,"San Jose, CA - Lake Tahoe",Lockheed 049 Constellation,85   (passengers:81  crew:4),85   (passengers:81  crew:4),"The aircraft crashed into Genoa Peak while attempting to land under VFR conditions after a missed approach and go-around. The captain's decision not to wait until the weather improved or divert to an alternate airport during adverse weather conditions. The pilot's deviation from prescribed VFR flight procedures in attempting a visual landing approach in adverse weather conditions. This resulted in an abandoned approach and geographical disorientation while flying below the minimum altitude prescribed or operations in mountainous areas. The aircraft was named ""City of Los Angeles.""",March,1964,1,,
1277,22:07,"Off Papeete, Tahiti",Pan American World Airways,"Auckland, NZ - Papeete, Tahiti - Honolulu - Los Angeles",Boeing B-707-321B,79   (passengers:69  crew:10),78   (passengers:68  crew:10),"The aircraft crashed 30 seconds after takeoff from Faaa Airport into the ocean. Cause unknown.  It is possible an instrument failure diverted the crews attention during a turn. The aircraft was named ""Clipper Winged Racer.""",July,1973,22,,
1547,09:45,"Carrizozo, New Mexico",SW Air Rangers - Air Taxi,"Carrizozo, NM - Albuquerque, NM",Piper PA-32RT-300,3   (passengers:1  crew:2),3   (passengers:1  crew:2),Crashed into a mountain shortly after taking off. Continued VFR flight into adverse weather conditions. IFR flight plan not filed.,April,1979,12,33.6432488,-105.8777246
